OCLC,Title,Author,Language,Item_type,Publication,Publisher,Database,Notes,Date_Added
"951814242","Johannis BuxtorfI Thesaurus grammaticus linguae sanctae hebraeae : duobus libris methodicè propositus, quorum prior, vocum singularum naturam & proprietates, alter vocum conjunctarum rationem & elegantiam universam, accuratissime explicat : adjecta prosodia metrica, sive poeseos hebraeorum dilucida tractatio : lectionis Hebraeo-Germanicae usus & exercitatio : cum capitum & vocum irregularium indice.","Johann Buxtorf","Latin","book_digital","","Basileae : Impensis Johannis BuxtorfI, Junioris : Typis Joh. Jacobi Deckeri ..., 1663.","","","2017-05-15 12:22"
"936448448","Synagoga Judaica : de Judaeorum fide, ritibus, ceremoniis, tam publicis & sacris quam privatis, in domestica vivendi ratione","Johann Buxtorf","Latin","book_printbook","","Basileae : Johan. Jacobum Deckerum, 1661.","","","2017-05-15 12:21"
"907602784","Johannis BuxtorfI Manuale Hebraicum et Chaldaicum : quo significata omnium vocum, tam primarum, quam derivatarum, quotquot in Sacris Bibliis, Hebræâ & partim Chaldæâ linguâ scriptis, extant, solidè & succinctè explicantur ...","Johannes Buxtorf; König, Ludwig (I, Bazel)","Latin","book_printbook","","Basileæ : Impensis Ludovici Köning, 1631.","","","2017-05-15 12:20"
"959377222","Joh. Buxtorfi Grammaticae Chaldaicae et Syriacae. Libri III ...","Johann Buxtorf","Latin","book_printbook","","Basileae, Sumptibus Haeredum Ludovici König, 1650.","","","2017-05-15 12:19"
"633432957","Johannis Buxtorfii Lexicon Hebraicum Et Chaldaicum : Complectens Omnes Voces, Tam Primas quàm Derivatas, quae in Sacris Bibliis, Hebraeâ, & ex parte Chaldaeâ linguâ scriptis, extant ... Accessit Lexicon Breve Rabbinico-Philosophicum. Cum Indice Locorum Scripturae Et Vocum Latino.","Johann Buxtorf (der Ältere); Johann (der Ältere) Buxtorf","Latin","book_printbook","","Basileae : König, 1676.","","","2017-05-15 12:19"
"606801078","Johann. Buxtorfii Epitome grammaticæ Hebrææ : breviter & methodice ad publicum scholarum usum proposita : adjecta succincta de mutatione punctorum vocalium instructio, & textuum Psalmorúmque aliquot Hebraicorum Latina interpretatio ...","Johann Buxtorf","Latin","book_digital","","Londini : Ex Officina Johannis Redmayne, prostant venales apud Henricum Eversden ..., 1666.","","","2017-05-15 12:18"
"66297692","Joann. Buxtrofii Epitome grammaticæ Hebrææ : breviter & methodice ad publicum scholarum usum proposite : adjecta succincta de mutatione punctorum vocalium instructio, & textuum Psalmorúmque aliquot Hebraicorum Latina Interpretatio ...","Johannes Buxtorf; Daniel, Roger (Londen)","Latin","book_printbook","","Londini : Ex officina Rogeri Daniel, 1653.","","","2017-05-15 12:17"
"637294618","Johannis Buxtorfii de Abbreviaturis Hebraicis liber novus & copiosus : cui accesserunt operis Talmudici brevis recensio : cum ejusdem librorum & capitum indice : item Bibliotheca rabbinica Nova, ordine Alphabethico disposita.","Johann Buxtorf","Latin","book_printbook","","Basileae : Typ. C. Waldkirchi, 1613.","","","2017-05-15 12:16"
"937642094","Enquiries touching the diverfity of languages and religions through the chief parts of the world","Edward Brerewood","English","book_printbook","","London : Printed for Samuel Mearne, john Martyn, and Henry Herringman, 1674.","","","2017-05-15 12:14"
"832309866","Discours Sur L'Histoire Universelle : Pour expliquer la suite de la Religion & les changemens des Empires T.1","Jacques Bénigne Bossuet","French","book_printbook","","Amsterdam L'Honoré & Fils 1738","","","2017-05-15 12:13"
